english_sentence,korean_sentence
"size, measurement; water control","치수"
"completion, conclusion (active)","완결"
"to hunt, prey on","사냥하다"
"outside, open air, the outdoors","야외"
"disease, illness","질병"
"to destroy, ruin, wreck; subvert, disrupt","파괴하다"
"pediatrics","소아과"
"saying, proverb","속담"
"bodyguard, escort","경호원"
"every house, from door to door","집집마다"
"to be cautious, prudent, discreet (with money)","신중하다"
"dryer","드라이어"
"waiter","웨이터"
"(devoted) reader","애독자"
"to be sharp, keen, acute, sensitive; sensitive, edgy (could cause conflict)","예민하다"
"nonsense, silly talk, gibberish, garbage","헛소리"
"contact, touch, make contact with","접촉"
"telephone receiver (old phones)(where you put your ear to listen)","수화기"
"bad luck, misfortune (destined for misfortune) (not common)","액운"
"list of names, registry, directory","명단"
"booklet, brochure, pamphlet","책자"
"orchard, fruit garden","과수원"
"entrance to a village, Eastern Europe","동구"
"to skip, miss; filter (out)","거르다"
"meal (at a particular time every day, or such food); counter for meals","끼니"
"inspector, examiner, auditor","검사관"
"to follow, chase, come after","쫓아오다"
"selection of music","선곡"
"to finish, finalize, complete (a task)","마무리하다"
"insult, abusive language, swear, profanity, curse","욕설"
"to open, be open to the public; unbar","개방하다"
"school system, education system","학제"
"expansion, growth, increase, expand, swell","팽창"
"annual; order of age","연차"
"colored pencil","색연필"
"deal, dealings, trade, transaction; do business with","거래"
"sales","매출"
"shower, sudden rain; figuratively a sudden outpouring of something","소나기"
"negotiation, talks, bargaining","협상"
"entertainment, reception, hospitality, wine and dine (tending to guest's needs with food)","접대"
"feeling, emotion, sentiment","정감"
"for school to start (after vacation)","개학하다"
"college entrance exams (short from 수학능력시험)","수능"
"anonymity","익명"
"to turn (around), turn away; change, improve; keep away from someone","돌아서다"
"to be far away, in the distance, have a long way to go; be remote, distant; be dazed","아득하다"
"illiteracy","문맹"
"(security) deposit","보증금"
"false (incorrect) report; wrong information","오보"
"director (not common)","상무"
"to be imperfect, not adequate, sloppy, awkward, careless","어설프다"
"to be easy, safe, acceptable; safe and sound","무난하다"
"to shrink, shrivel, curl up, contract; aggravate, worsen","오그라들다"
"ending, ending of a word; (animal) mother","어미"
"worker, laborer, workforce","일꾼"
"king, emperor","제왕"
"to be fresh, refreshing; neat (looking clean)","산뜻하다"
"to be calm, cool, relaxed","차분하다"
"anniversary of one's death; fixed date, appointed day (not sure about this one use for exams a lot)","기일"
"lawsuit, litigation, suit","소송"
"pervert; (formal) metamorphosis","변태"
"to have great success in life, successful career","출세하다"
"conspiracy, plot, scheme (bad intentions); pubic hair","음모"
"scheme, trick, plot, ruse (deviously to achieve something)","계략"
"to be composed, calm (doesn't lose composure easily)","침착하다"
"to exhale, breathe out","내쉬다"
"will, drive, desire, enthusiasm (will to do something)","의욕"
"humiliation, mishap; an insult, receive an insult; having a bitter experience (not common)","봉변"
"to tear down, pull down, demolish,open; break, cancel; be inflamed, sore; wear out","헐다"
"pay, salary (money received in return for work)","급여"
"red light distric, brothel, unlicensed prostitute","사창가"
"to fall down, drop down, collapse; fail, go bankrupt","쓰러지다"
"live broadcast","생방송"
"charm, beauty","묘미"
"to be polite, courteous, well-mannered, civil","공손하다"
"name tag; famous temple","명찰"
"trace, trail, tracks; live apart from one's family","자취"
"unconscious, unvoluntary, subconsciously (heppening while one is not aware)","무의식적"
"to be fresh, refreshing (smell, taste, etc); refreshing (looking cool and fine)","상큼하다"
"to get a bruise, be damaged; offended, shocked","멍들다"
"classic, musical masterpiece","명곡"
"contest, confrontation, fight","대결"
"addictiveness; toxicity","중독성"
"witch","마귀할멈"
"clearly, neatly; regularly (following a rule)","또박또박"
"to be fed up, sick and tired","식상하다"
"setting an example, demonstration, model (act of showing how to do something)","시범"
"migratory bird","철새"
"drop, fall, decrease, depreciate, come down","하락"
"to pay for, compensate; recover, make up for","물어내다"
"to be still, quiet, calm, silent, peaceful","고요하다"
"luggage, baggage, hand baggage","수하물"
"insect, bug","곤충"
"rule, reign, governance","통치"
"rope (thick/twisted)","동아줄"
"feather; down","깃털"
"prize money, award (cash)","상금"
"footstep, footprint, tracks; step (measure of distance)","발자국"
"Mrs. , madame","여사"
"scope, range, extent, limits","범위"
"nickname","별명"
"to be spilled, leaked, discharge; outflow, leak","유출되다"
"overlap, duplication, repetition, redundant; Jungbok (second of the three dog days)","중복"
"acceptance, consent, agree (to)","수락"
"class, grade, ranking, rating","등급"
"to look for, hunt after, rummage","뒤져보다"
"modification, amendment, revise; correction, rectify; fertilization; crystal","수정"
"to be busy","분주하다"
"field trip, tour","견학"
"to scatter, flutter, blow","흩날리다"
"to twist, wring","비틀다"
"to be vague, faint, distant; indistinct","은은하다"
"to greet, welcome","반기다"
"passive, half-hearted; negative","소극적"
"the Blue House, Korean presidential mansion","청와대"
"flame, blaze","화염"
"to be upset, displeased","언짢다"
"old age","노년기"
"to store, preserve, save","저장하다"
"to put on make up, dress as","분장하다"
"the middle ten days of a month","중순"
"quite well, frequently","곧잘"
"phrase, word of mouth; fishing gear","어구"
"hindrance, obstacle, harm; thumbprint","지장"
"visa","비자"
"wild goose","기러기"
"wicker basket","바구니"
"lamp","램프"
"Korean traditional jacket","저고리"
"pitcher","투수"
"acorn","도토리"
"magpie (bird)","까치"
"lungs; trouble","폐"
"highest grade, top class","최고급"
"loan words","외래어"
"to be sharp, keen","예리하다"
"track (designated path), orbit","궤도"
"one's mother's parents' home, grandparents house","외가"
"new (piece of) work","신작"
"swamp, marsh, bog (can be figurative)","늪"
"flour-based food","분식"
"blind person (this might be impolite)","장님"
"with a flutter, flapping","펄럭펄럭"
"to be strange, odd, weird, bizarre","기이하다"
"to collapse, fall down, cave in; be surprised, shocked, startled; sit down on","내려앉다"
"seawater, salt water","해수"
"to stand face to face","마주서다"
"one's real name; blindness","실명"
"used car, secondhand car","중고차"
"groundless rumor, false rumor","헛소문"
"date and time; for a time; pause, temporarily, momentarily","일시"
"author; market, store; that guy (might be rude)","저자"
"speaker, lecturer, instructor","강사"
"talkative person, chatty person","수다쟁이"
"to list, arrange in order","나열하다"
"to leak, escape, be heard outside, get off subject, shine through; dawn","새다"
"light, glow, firelight","불빛"
"to close one's mouth, shut up, keep quiet","다물다"
"typing; batter, hitter","타자"
"by order of arrival, first come first serve","선착순으로"
"to begin, start, open, commence","개시하다"
"porch","베란다"
"to be peculiar, strange, weird, eccentric","별나다"
"blade of a knife","칼날"
"power, authority (used to control others)","권력"
"lease of a house on a deposit basis; charter; war situation, progress of battle","전세"
"chrysanthemum, national flower","국화"
"to narrow, restrict, close (on), make something smaller","좁히다"
"to get married (for a man) (not common)","장가가다"
"to watch, observe, do surveillance, look out for (to arrest a person or control a situation)","감시하다"
"to be cowardly (acts are not honorable/brave)","비겁하다"
"gold ring","금반지"
"to disclose, expose, reveal","폭로하다"
"award, prize; table; top, first class; mourning; statue, figure; example","상"
"monthly installment plan","할부"
"adjustment, modification, adjust; meditation; rowing","조정"
"to be blunt, dull; dense (thick headed)","무디다"
"due date (mostly babies?)","예정일"
"to be superior, excellent (in comparison to many others)","우수하다"
"school, educational institution","학창"
"to be harmful, bad, detrimental","해롭다"
"to reduce, cut down","축소하다"
"blister","물집"
"shaking one's head (dissaprovingly)","절레절레"
"course, route; program","코스"
"grain, cereals, crop","곡식"
"entertainment, pasttime, recreation; video game, computer game","오락"
"highway","하이웨이"
"top of a mountain, peak, summit","산꼭대기"
"dress, attire, getup","옷차림"
"walking stick, cane, wand","지팡이"
"health center","보건소"
"queen, empress","왕비"
"gag, comic talk (comedian)","만담"
"amusement park (not common)","놀이동산"
"to be familiar, informal, friendly, close","친근하다"
"public institution","공공기관"
"prescription","처방전"
"enforcement, implementation, carry out; line (of a poem)","시행"
"district office (respecible for administrative work of a gu district)","구청"
"a number of years (does not exceed 10)","수년"
"to want, desire, covet, have a craving","탐내다"
"lecture hall, auditorium","강당"
"physics","물리학"
"bathroom, toilet (not common)","변소"
"teaching assistant, research assistant","조교"
"roommate","룸메이트"
"student center","학생회관"
"to be itchy, feel itchy","가렵다"
"to be bitten; be fed up; make return/repay; postpone","물리다"
"to remake, regenerate, recycle, play back(a video)","재생하다"
"engineering, technology; coeducation, mixed education (gender/ethnicity/backgrounds)","공학"
"initially, originally, in the first place","당초에"
"to be pleasant, nice, comfortable","쾌적하다"
"chopped noodles","칼국수"
"generously, unsparingly, freely","아낌없이"
"wheel; round; cockroach","바퀴"
"sled, sleigh","썰매"
"to break down, be damaged (impossible to use)","망가지다"
"to withdraw, take out","인출하다"
"spatula, paddle (similar to a spoon used for scooping rice)","주걱"
"telephone pole","전봇대"
"to engrave, carve, inscribe; record, print","새기다"
"roadside, side of the street","길가"
"hair pin, hair clip, bobby pin","머리핀"
"fixed-price system","정찰제"
"side, flank; aspect","측면"
"honesty (not deceptive); suspension","정직"
"servant, vassal, government officer (serving the king)","신하"
"subject (sentence component)","주어"
"friendship","친목"
"passerby, pedestrian","행인"
"beef with vegetables cooked in a casserole","전골"
"to be cruel, heartless, ruthless, merciless","잔혹하다"
"residence, dwelling","주거"
"trade port","무역항"
"rating, ranking, position","순위"
"aquarium","수족관"
"kimchi prepared for winter","김장"
"botanical garden (grow many plants for research)","식물원"
"little finger","새끼손가락"
"shrine (ancesteral)","사당"
"to obey, submit","복종하다"
"to the best of one's ability, as much as one can, at most","기껏"
"paper money, bill","지폐"
"general cleaning, big cleaning, spring cleaning","대청소"
"ladle, scoop","국자"
"front and back, before and behind; before and after","앞뒤"
"to contrast, compare","대조하다"
"physical strength","체력"
"obligation, duty, responsibility","의무"
"planning, project (official situations [business])","기획"
"department, division (of a company or institution)","부서"
"client","의뢰인"
"cheap (stingy, frugal) person (slang)","짠돌이"
"fruit, nut, berry","열매"
"notepad","메모지"
"to end in a tie; compare","비기다"
"sixtieth birthday","환갑"
"credit; grade, GPA","학점"
"hockey","하키"
"law","법학"
"quotation, citation","인용"
"judge","판사"
"to draw a line; buy on credit; limit, restrict; rain stops temporarily","긋다"
"spouse, partner (seems really formal)","배우자"
"to crawl; creep (slowly); grovel","기다"
"to make a mess","어지르다"
"to invite","초청하다"
"to expand, extend, enlarge, broaden","확장하다"
"error, mistake, fallacy, miscalculation","오류"
"inquiry","문의"
"to (be) pay in advance","가불하다"
"system","체계"
"level of satisfaction","만족도"
"reorganization, reform, restructuring, reshuffle","개편"
"scheduled time, appropriate time","제시간"
"whether or not; room for doubt, question","여부"
"single, solo, independent","단독"
"to rise, climb, increase","상승하다"
"to adopt a child","입양하다"
"tooth","이빨"
"to be incompetent, incapable","무능력하다"
"plastic, vinyl","비닐"
"workbook","문제집"
"restoration to the original state","원상 복구하다"
"to retire","은퇴하다"
"stepmother","새어머니"
"mask (can be figurative)","가면"
"creditor","채권자"
"debt","채무"
"affair, adultery; immorality","불륜"
"to be exhausted, drained","탈진하다"
"liquid","액체"
"leader, chief, boss (person who is highest ranking in a group or task)","우두머리"
"front, facade; facing head on","정면"
"devil, satan","악마"
"intuition","직관"
"commerce, business","상업"
"to prohibit, forbid, ban; control, suppress, restrain (not common)","금하다"
"to be unique, distinct, innate (quality inherent to a group/object)","고유하다"
"one's elder sister's husband","매형"
"synonym","동의어"
"rice, rice plant","벼"
"pager, beeper","호출기"
"to print out, output, display; generating capacity","출력하다"
"expenses, cost, charge; guard, security","경비"
"type, category, class; tangibility","유형"
"clue, lead, first step; condition","단서"
"the wife of a girl's brother","올케"
"accounting, bookkeeping","회계"
"emergency, crisis","비상"
"payment, settlement; liquidation","결제"
"amount of money","금액"
"to draw lots","추첨하다"
"farmhouse, farming family","농가"
"rational, reasonable, logical","합리적"
"delusion","망상"
"vertical, perpendicular (up or down in a straight line)","수직"
"to be detailed, full","상세하다"
"to read aloud, recite","낭독하다"
"to taste, try, experience","맛보다"
"limit (regarding money)","한도"
"one's image reflected in a person's eye","눈부처"
"drought","가뭄"
"to propose marriage","청혼하다"
"window; spear; sole (underside of a shoe); Korean traditional song","창"
"target, mark","표적"
"confusion, turmoil, chaos, mixed up","혼란"
"trap, snare","덫"
"wedding invitation","청첩장"
"beauty treatment","미용"
"family register","호적"
"transportation","차편"
"to be suitable, appropriate, to deserve, satisfactory; pleased","마땅하다"
"corpse, dead body","시체"
"to be born, (literary) come into the world","탄생하다"
"eagle","독수리"
"billiards, pool","당구"
"to turn oneself in","자수하다"
"matter, item, things, particulars, issue","사항"
"to recall, recollect; show (make a certain expression on one's face)","떠올리다"
"to feel empty, lonesome, hungry","허전하다"
"questionnaire, survey","설문지"
"to pull, jerk, yank (can be figurative); move something up (earlier)","당기다"
"change of seasons","환절기"
"everywhere, all over, thoroughly, completely","샅샅이"
"flower basket","꽃바구니"
"magic, sorcery","요술"
"to sink, settle, go under; calm down, subside","가라앉다"
"to borrow money","빚내다"
"to have layers","층지다"
"to stay (away from home)","체류하다"
"visit, interview (someone in a place where access is restricted to normal people)","면회"
"debt; life; circumstances, condition","신세"
"policy","정책"
"victory, win","승리"
"one's left","좌측"
"route map (bus or subway)","노선도"
"etc., and the like, like that, and so on; (bound noun) used to add a negative meaning","따위"
"day by day; raw, uncooked","잘로"
"to realize, notice, become aware, percieve, understand, take in","알아차리다"
"fortune, luck, fate, destiny; transportation business","운수"
"origin, derive from","유래"
"concubine (lives with a married man without being his wife); book, album; pack of herbal medicine","첩"
"opportunity, chance, motive; instrument (used to measure)","계기"
"to be fine, clear, sharp (not common)","청명하다"
"to be well informed, know inside out, be full aware","숙지하다"
"controversy, dispute","논란"
"purpose, meaning, point, object, intent","취지"
"registered mail (sender receives confirmation that it was received)","등기우편"
"easily (not common)","능히"
"telegram","전보"
"to regard, consider, take into account","간주하다"
"mailbox","우체통"
"to put into, bring in (not common)","집어넣다"
"window, counter, channel (of communication)","창구"
"efficiency, performance (quality of functions or a machine)","성능"
"exchange rate","환율"
"original (work)","원작"
"to take dictation, write down","받아쓰다"
"helper, asisstant","도우미"
"to be a little salty; substantial","짭짤하다"
"enthusiastic performance","열연"
"to be covered, hidden; filled up","덮이다"
"to kidnap, abduct (not common)","유괴하다"
"to worry, be anxious (not common) (seems extreme)","애태우다"
"to be arrogant, snobbish, stuck-up","거만하다"
"fake, immitation (not common)","짝퉁"
"body weight","체중"
"to rent, lend, loan","대여하다"
"recognition, awareness, cognition, perception, understanding","인식"
"to complete, finish (thoroughly/long term tasks)","완성하다"
"dispute, conflict (fiercely)","분쟁"
"computer terminal (old fashioned)","단말기"
"description, portrayal, depiction","묘사"
"six days","엿새"
"prophecy, prediction, foretell","예언"
"to grade, mark, score","채점하다"
"to modify (grammar); embellish, decorate","수식하다"
"weirdo","또라이"
"level of education, academic background; academic ability","학력"
"duty, obligation, reason; way, method","도리"
"to be nothing more than, only, merely","불과하다"
"P.S.","추신"
"senior, upperclassmen (in higher class than you)","상급생"
"even though, even if, although","비록"
"detergent, cleanser; tax system","세제"
"counter for trees; stump, stock","그루"
"tree branch, bough, twig","나뭇가지"
"tag, hide-and-seek","술래잡기"
"before you know it, in no time, already; without one's knowledge (not common)","어느덧"
"to be short, choppy, brief (somewhat short)(not common)","짤막하다"
"to be disgraceful, outrageous; be disgusted (with, that) (for doing things against other's expectations) (not common)","괘씸하다"
"wrong diagnosis, misdiagnosis","오진"
"reason, logic, principle","이치"
"to surround, encircle, seige","포위하다"
"to be excessive, go to far","과도하다"
"certificate, license","자격증"
"memorandum, note of promise, written vow, memo","각서"
"hideout, hiding place","은신처"
"sympathy, pity; movements; virginity; thin white cloth-covered paper collar","동정"
"hangover","숙취"
"full moon","보름달"
"non-smoking section","금연석"
"smoking section","흡연석"
"hypocrisy","위선"
"to be neat, tidy; elegant; be petite","아담하다"
"rag, mop; junk; slut","걸레"
"mineral water, natural water, bottled water","생수"
"to complete, finish ( a course)","수료하다"
"code, cipher, password","암호"
"civilization","문명"
"to pay, make a payment","지불하다"
"uncivilized, savage","야만적"
"to verbally abuse, speak ill of, criticize, curse (not common)","악담하다"
"nursing home","양로원"
"to be polished, refined, sophisticated","세련되다"
"drop of water","물방울"
"to mend, repair (not common)","수선하다"
"zucchini, pumpkin; amber; ugly","호박"
"very, indeed, how (not common)","오죽"
"the ocean, marine","해양"
"to yawn","하품하다"
"safe, vault, strongbox; finance company, credit union","금고"
"sign, notice (to inform the public)","표지판"
"to be shabby, poor, pitiful (formal? not common)","초라하다"
"to paint, coat, smear, powder, apply","칠하다"
"exhaust (fumes), emissions","매연"
"to advise, suggest, recommend","권유하다"
"choosing one; choosing the day","택일"
"appetizer","전채"
"to be slightly hungry","출출하다"
"crown, tiara","왕관"
"villain, bad guy","악역"
"next generation","차세대"
"mood, temper; planting","심기"
"patent","전매특허"
"evil deed, wrongdoing","악행"
"shivering","오슬오슬"
"with a splash","퐁당"
"to be important, urgent, essential","긴하다"
"to insert, add, put in (between or among others)","삽입하다"
"attribute, property, quality; quick, being intensive","속성"
"to send, transmit","전송하다"
"craft (handcrafted)","공예"
"half-moon-shaped rice cake","송편"
"moisture, dampness, wetness","물기"
"cruise ship, excursion boat","유람선"
"fireworks","불꽃놀이"
"aisle, passage, route, channel","통로"
"royal palace","궁궐"
"ghost story","괴담"
"to last, continue, persist, maintain","지속되다"
"to take over, accept, assume","인수하다"
"regret, dissatisfaction","유감"
"(bank) account","구좌"
"overwhelmingly","압도적으로"
"betrayal, treachery","배반"
"dagger, short sword","단도"
"district magistrate","사또"
"reversal, turnaround; antiwar","반전"
"to express, state, indicate, announce","표명하다"
"duty, one's turn, shift","당번"
"classical scholar","선비"
"public welfare, people's livelihood (not common)","민생"
"bird cage","새장"
"to print, publish, run","게재하다"
"to approach, draw near, close in","육박하다"
"details, particulars","상세"
"banishment, exile","유배"
"to deduce, reason, infer (mostly detective/mystery related?)","추리하다"
"with one's utmost sincerity or whole heart, with great care","정성껏"
"clam, shellfish","조개"
"broker, agent, middleman","중개인"
"to hang (clothes to dry)","널다"
"odd number","홀숩"
"bundle, pack, bunch; cloth-wrapped package","보따리"
"court of law","법정"
"pear juice","배즙"
"geography","지리"
"Korean double-headed drum","장구"
"superstition","미신"
"grasshopper","메뚜기"
"hostage","인질"
"button","단추"
"silver","은"
"hardwood","원목"
"cloth, fabric; thousand","천"
"large size; military formation","대형"
"delivery man","배달원"
"traditional market","재래시장"
"fish market","수산시장"
"seller, merchant; long life, longevity; commander, general","장수"
"bouquet, bunch of flowers","꽃다발"
"bangs, front hair; forehead; introduction, prologue","앞머리"
"(the description of) look, personal appearance","인상착의"
"missing child, lost child","미아"
"to decorate, trim, adorn","장식하다"
"to be leisurley","여유롭다"
"to divine, foretell, make a guess, forecast","점치다"
"doljabi (when a baby picks out one object from several)","돌잡이"
"stethoscope","청진기"
"picnic, outing (of a company)","야유회"
"with a thud, bang","쿵"
"to be bitter, sour, displeasing","떫다"
"flea market","벼룩시장"
"street, road","길거리"
"workroom, studio","작업실"
"to be different, unconventional, unusual (have a unique feature)","색다르다"
"to be completed, be completely built (construction)","완공되다"
"car, vehicle, traffic; train car","차량"
"attention, notice","주목"
"jewelry, precious metal","귀금속"
"to explore, investigate (to reveal something unknown)","탐색하다"
"to throw up, vomit; yell, shout","토하다"
"humiliation, indignity","굴욕"
"keyboard, key (piano)","건반"
"adult, noble man, man of virtue, gentleman; personal, being face to face","대인"
"crawling, creeping","엉금엉금"
"to acquire, gain, win, obtain","획득하다"
"to be calm, peaceful, serene (without worries or troubles)","평온하다"
"eating between meals, snacking","군것질"
"intention, decision, plan, resolution","작정"
"treasure (precious and valuable thing)","보물"
"to suspend, discontinue, interrupt, put a stop to, cease","중단하다"
"publishing company, publisher","출판사"
"to click","클릭하다"
"to hesitate, hold back, waver","머뭇거리다"
"locker, cabinet","사물함"
"room door; visit, call, drop by","방문"
"accomplish, achieve, manage to do, win","해내다"
"family business","가업"
"to see someone out, see someone off","배웅하다"
"good-for-nothing","건달"
"to be neat, tidy, proper; conclude, decide, make up one's mind","단정하다"
"to be ticklish, feel ticklish, itchy; shy, abashed (not common)","간지럽다"
"to be dejected, dispirited","허탈하다"
"to examine, review, study (information in depth)","검토하다"
"cookbook","요리책"
"feast, lots of food, banquet","진수성찬"
"kitchen appliances, utensils","부엌용품"
"beginning of semester","개강"
"to sponsor, support, make a contribution","협찬하다"
"destination","도착지"
"to act up, behave badly or silly; boast, brag (not common)","까불다"
"restaurant famous for delicious food","맛집"
"rhinoceros","코뿔소"
"to be beyond one's capability or resources, unmanageable (not common)","버럽다"
"expert, master","달인"
"stakeout, hiding and waiting; latency (dormant symptoms of a disease); remain dormant","잠복"
"penalty (pre-decided regulations for breaking rules)","벌칙"
"time, moment; view, standpoint; sight, vision","시각"
"main street, main road, direction; (bound noun) indicating something is the same","대로"
"battery","배터리"
"to be unable to move at all, stuck, in a fix, at a loss","꼼짝 못하다"
"nature, properties, character, quality; temper","성질"
"to gather (together), bundle, crumple up, stick together, amass","뭉치다"
"to cheer, shout for joy","환호하다"
"to carry out, accomplish, complete, fulfill","완수하다"
"pleasant feeling, pleasure (not common)","쾌감"
"to remodel, alter, renovate","개조하다"
"to own, have, possess","소유하다"
"be in full swing, earnest, full-scale, regular","본격적"
"to transfer (one's name from a family register / an athlete, etertainer etc to another company), move","이적하다"
"to be urgent (just before an incident) (not common)","다급하다"
"color, tint (when exposed to light)","빛깔"
"to be carried on someone's back; be backed by (not common)","업히다"
"to score a goal; reach the finish line, be married (slang?)","골인하다"
"disturbance, rampage, mayhem; abnormally warm winter","난동"
"to catch, arrest, round up, apprehend","검거하다"
"coupon","쿠폰"
"to exclude, leave out, rule out (as a candidate or calculation)","제외하다"
"set-up, slander, defamation, false accusations, setup; mother ship","모함"
"year; kite; tie, connection, relationship; lotus; stanza, verse; (prefix) aggregate of something","연"
"team leader","팀장"
"one's whereabouts","행방"
"victory and/or defeat","승패"
"bubble, foam; blister","수표"
"to perform an experiment, test","실험하다"
"magnifying glass, reading glasses","돋보기"
"studio apartment","오피스텔"
"sister (used by a boy)","누이"
"the last, the bottom, worst performer","꼴찌"
"hide-and-seek","숨바꼭질"
"gulp; patiently","꿀꺽"
"to be taken away, be robbed of, deprived of; fascinated","빼앗기다"
"complete defeat, crushing defeat","완패"
"to go home, come home","귀가하다"
"to stand closely together, form a line, be aligned","즐비하다"
"to be bitter, disappointed","씁쓸하다"
"to be uncomfortable, awkward, embarassed; bloated","거북하다"
"to overlap, stack; coincide (with)","겹치다"
"to compare (by putting them next to each other)","대보다"
"banner, curtain (big), banner (used in a protest)","현수막"
"unexpected, absurd, or extraordinary remark (not common)","별말"
"poster","포스터"
"picnic under the cherry blossoms","벚꽃놀이"
"to prepare, purchase, get something ready","장만하다"
"flight","항공편"
"full, fully occupied","만석"
"alliance, partnership","동맹"
"to complete, conclude, get through; perfect tense","완료하다"
"waiting person???","대기자"
"besides, moreover, furthermore, in addition (not common)","더군다나"
"extremely, awfully, terribly, excruciatingly (not sure about this one)","지지리"
"(straw) mat","돗자리"
"truth (logic), true reason","진리"
"in an instant, in a flash, suddenly; by chance, by accident","언뜻"
"nickname, pet name, quickname (Alex for Alexander)","애칭"
"younger sister of one's wife","처제"
"efficient, efficiency","효율적"
"the strongest (not common/ mostly teams or countries)","최강"
"strategy, tactic","전략"
"to be tangled, complicated, invovled, concerned with, related to","얽히다"
"anecdote","일화"
"to be out of stock, sold out","품절되다"
"to be tight, rigid, stiff, inflexible; dense, packed","빡빡하다"
"our forces, ally, friendly forces","아군"
"to be sharp, pointed; sharp, accurate; sensitive","날카롭다"
"order, instruction, directive (not common)","지령"
"to admire, wonder (feel strongly and deeply about something)","감탄하다"
"to insult, put a person down","모욕하다"
"moisture, humidity","습기"
"seagull","갈매기"
"understanding, empathy (not common)","이해심"
"walkie-talkie, radio","무전기"
"introverted, reserved","내성적"
"confidence, self-confidence","자신감"
"unit, chapter; member","단원"
"to be careless, act frivolously, fling about (???)","덤벙거리다"
"to be insensitive, obtuse, impervious","둔감하다"
"to be poor, loose, flimsy; lean, skinny; sparse; imperfect, deficient","엉성하다"
"probability, chance, likelihood","확률"
"short arm octopus","주꾸미"
"course, direction, path, career","진로"
"to design, map out, plan (a future project); design (construction, engineering machinery etc)","설계하다"
"farewell, parting","작별"
"to participate, compete, go to a sports game; go to war","출전하다"
"to undertake, be in charge","담당하다"
"secret rendezvous, meeting; tangent (math)","접선"
"medal (awarded by the government)","훈장"
"cane, stick (used for whipping)","회초리"
"pickled radish","단무지"
"ballpoint pen","볼펜"
"a little; please (used to soften a request); moth","좀"
"birthday","생일"
"recording studio","녹음실"
"international (involving many nations)(descriptive)","국제적"
"modern people","현대인"
"the rainy season","장마철"
"photo studio","사진관"
"to be strange, funny, weird (not common)","이상야릇하다"
"to be sweltering, humid, stuffy (not common)","후텁지근하다"
"rubik's cube","큐브"
"raw egg","날달걀"
"bank of a stream","시냇가"
"mopping, wiping","걸레질"
"prime minister, deputy prime minister (in the Joseon Dynasty)","정승"
"one by one, in turn","차례차례"
"shepherd","양치기"
"helmet, safety hat","헬멧"
"salad","샐러드"
"cotton candy","솜사탕"
"barbecue","바비큐"
"apron","앞치마"
"water bottle, pitcher","물병"
"dice (6 sided die for board games)","주사위"
"ugly handwriting","악필"
"to wink","윙크하다"
"to distribute food (to a group) (not common)","배식하다"
"New Year's cash gifts","세뱃돈"
"woolen yarn","털실"
"diary","일기장"
"colored paper","색종이"
"coin bank, piggy bank","저금통"
"hiking boots","등산화"
"to be soft, tender; yielding (a person who is not firm or strong)","말랑말랑하다"
"to come off, fall off, get removed, be taken off","벗겨지다"
"shark","상어"
"flower bed; the art world","화단"
"octupus","낙지"
"carousel, merry-go-round","회전목마"
"sports day, field day","운동회"
"turtle","거북"
"eating show","먹방"
"jumping up and down","펄쩍펄쩍"
"to be intelligent, bright (able to remember something for a long time/generally smart)","총명하다"
"to move out of one's parent's house; branch family","분가하다"
"sketchbook","스케치북"
"feelers, antenna","더듬이"
"private loan (owed to an individual not an institution)","사채"
"pose","포즈"
"rolling (continuously)","데굴데굴"
"crocodile, alligator","악어"
"contract worker","계약직"
"mud flat, dry beach","갯벌"
"lock, padlock, combination lock","자물쇠"
"dancer","무용수"
"magician","마술사"
"mango","망고"
"slave, servant (old?)","노비"
"catfish","메기"
"acupuncture","침술"
"origami","종이접기"
"drums","드럼"
"to be half-cooked (egg)","반숙하다"
"finger flick","딱밤"
"mop (wet rag on a stick) (not common)","대걸레"
"broom","빗자루"
"face, honor (not common)","면목"
"dismissal of class (when school is over for the day)","방과"
"sound source, online music","음원"
"one's true colors","본색"
"fish cake","어묵"
"to surrender, submission, yield (to), give in (and be controlled)","항복하다"
"demonstration, rehearsal, trial (in front of other people as a test run)","시연"
"younger brother, younger sister (can be used with close friends) (not common)","아우"
"straw","빨대"
"groceries, materials for making side dishes","반찬거리"
"dolphin","돌고래"
"marriage proposal","프러포즈"
"stroller, baby carriage","유모차"
"subject, topic (worthy to be talked about)","이야깃거리"
"blowfish","복어"
"to hoist, raise (a flag)","게양하다"
"wreath (to congratulate or express condolence)","화환"
"monetary gift","축의금"
"carnation (red or white petals)","카네이션"
"to open a school","개교하다"
"parents","어버이"
"establishment, foundation (act of setting up a new company/organization etc)","창립"
"k-pop band member","아이돌"
"to be finite, limited; decimal","유한하다"
"nighttime","밤사이"
"mechanic, technician","정비사"
"gust of wind","돌풍"
"with a snap; suddenly; drastically","뚝"
"portal","포털"
"incompetence, incapable, ineffective","무능"
"rainbow","무지개"
"review, comment, criticism, write a review; (bound noun) measuring land","평"
"age","연령"
"ratio, proportion, percentage","비율"
"stability, equilibrium; calm, rest","안정"
"scolding (elder to younger person about wrongdoing/mistake)","꾸중"
"sleeping pills","수면제"
"to board (a mode of transportation)","탑승하다"
"to return (a product)","반품하다"
"quarrel, dispute, argue (in order to tell right from wrong)","말다툼"
"humming","콧노래"
"customer, client, account (buy or sell products to repeatedly)","거래처"
